gene 	Cell type 	Also known as	Comments
PDC	Neuronal projection-Pan PRs (fetal) 		
RTBDN	Interphotoreceptor Matrix-Pan PRs		
UNC13C	Synaptic marker		
A2M	Interphotoreceptor Matrix		
ABCA4	Pan PRs		
ADCY1	Synaptic marker		
AIF1	Microglia (fetal) 		
AIPL1	Pan PRs		
ALDH1A3	RPE		
ANKRD33	Pan PR	ENSSSCG00000000231	Critical role in PR maturation 
AP2A	"Early GCs, HCs and ACs"		
APBA1	Synaptic marker		
APBA3	Synaptic Marker		
APOE	RPE or Muller glia		
AQP4	Muller glia 		
ARR3	Cone		
ASCL1	"Pan PR, Retinal Progenitor, Early HCs, AC, and BPCs"		
ASPN	Interphotoreceptor Matrix		
ATOH7	Ganglion cell (fetal) 		
BARHL2	Amacrine cell		
BEST1	RPE		
BHLHB4	Bipolar Cell 		
BHLHB5	Amacrine cell or Bipolar Cell 		
BHLHE22	Bipolar Cell or Amacrine cell 		
BHLHE23	Bipolar Cell 		
BRN3	Ganglion cell 		
C1QA	Microglia (fetal) 		
C1QB	Microglia (fetal) 		
C1QC	Microglia (fetal) 		
C2ORF71	Pan PRs		
CA10	Bipolar Cell (fetal) 		
CA2	Muller glia 		
CA8	Bipolar Cell 		
CABP5	Bipolar Cell 		
CADPS	Synaptic marker	ENSSSCG00000011489	
CALB1	Early HCs and ACs		
CALB2	Early HCs and ACs		
CAMK4	Synaptic marker (glutamatergic) 		
CASZ1	Rod		
CCND1	Retinal Progenitor 		
CDH10	Synaptic marker		
CDHR1	Pan PRs		
CERKL	Neuronal projection		
CHAT	Amacrine Cell 		
CHN2	Bipolar Cell (fetal) 		
CHRNB4	Cone		
CLU	Muller glia 		
CNGA1	Rod		
CNGA3	Cone		
CNGB1	Rod	ENSSSCG00000002811	
CNGB3	Cone		
CNTFR	Muller glia 		
CNTN2	Ganglion cell (fetal) 		
CNTNAP2	Ganglion cell	ENSSSCG00000034739	Associated with CNTN2
COL2A1	Retinal Progenitor (fetal) 		
CPAMD8	Retinal Progenitor (fetal) 		
CPLX3	Neuronal projection		
CRALBP	Muller glia 		
