gene 	Cell type 	Also known as	Comments
BARHL2	Amacrine Cell		
NEUROD6	Amacrine Cell		
NR4A2	Amacrine Cell		
SATB2	Amacrine Cell		
CHAT	Amacrine Cell		
GAD1	Amacrine Cell		
GAD2	Amacrine Cell		
HSBP1	Amacrine Cell		
NRXN2	Amacrine Cell		
PRDM13	Amacrine Cell		
TACR1	Amacrine Cell		
TH	Amacrine Cell		
DIRAS2	Amacrine Cell		
LHX9	Amacrine Cell		
MEIS2	Amacrine Cell		
MIR181A1HG	Amacrine Cell		
MYT1L	Amacrine Cell		
TFAP2A	Amacrine Cell		
TFAP2B	Amacrine Cell		
NRXN3	Amacrine Cell	ENSSSCG00000058517	
BHLHB5	Bipolar Cell or Amacrine cell		
PTF1A	Amacrine Cell or Horizontal cell 		
SLCO5A1	Bipolar Cell		
BHLHB4	Bipolar Cell		
BHLHE23	Bipolar Cell		
CA8	Bipolar Cell		
CABP5	Bipolar Cell		
GNAO1	Bipolar Cell		
GNG13	Bipolar Cell		
IRX5	Bipolar Cell		
KCNG4	Bipolar Cell		
PCP2	Bipolar Cell		
PRKCA	Bipolar Cell		
SCGN	Bipolar Cell		
SLC1A7	Bipolar Cell		
VSX1	Bipolar Cell		
NETO1	Bipolar Cell		
SLC4A10	Bipolar Cell		
CA10	Bipolar Cell		
CHN2	Bipolar Cell		
GRM6	Bipolar Cell		
KCNMA1	Bipolar Cell		
LRTM1	Bipolar Cell		
PLXDC1	Bipolar Cell		
PRDM8	Bipolar Cell		
SCN3A	Bipolar Cell		
ST18	Bipolar Cell		
TMEM215	Bipolar Cell		
NEUROD4	"Bipolar Cell (fetal), PR cell, Amacrine Cell, or Horizontal cell "		
BHLHE22	Bipolar Cell or Amacrine cell		
SLC6A9	Bipolar Cell or Amacrine cell		
LHX4	Bipolar Cells and Cones (fetal) 		
SORD	Cilium		
ARR3	Cone		
CHRNB4	Cone		
CNGA3	Cone		
CNGB3	Cone		
GNAT2	Cone		
GNGT2	Cone		
MEF2C	Cone		
OPN1MW	Cone		
OPN1SW	Cone		
PDE6C	Cone		
PDE6H	Cone		
RORA	Cone		
SLC24A2	Cone		
SLC24A4	Cone		
THRB	Cone		
NR2F1	Cone		
NR2F2	Cone		
RASGRF1	Cone		
NPTX1	Cone		
RXRG	Cone or Ganglion cell (fetal)		
SALL3	Cone or Horizontal cells		
ELAVL3	Early GCs and ACs		
HUC	Early GCs and ACs		
HUD	Early GCs and ACs		
RBFOX1	Early GCs and ACs		
ELAVL4	Early GCs and ACs		
AP2A	"Early GCs, HCs and ACs"		
CALB1	Early HCs and Acs		
CALB2	Early HCs and Acs		
CNTNAP2	Ganglion cell	ENSSSCG00000034739	Associated with CNTN2
BRN3	Ganglion cell		
GRIN1	Ganglion cell		
GRIN2A	Ganglion cell		
HES6	Ganglion cell		
ISLET1	Ganglion cell		
ISLET2	Ganglion cell		
POU4F1	Ganglion cell		
POU4F2	Ganglion cell		
POU4F3	Ganglion cell		
RBFOX3	Ganglion cell		
RBPMS	Ganglion cell		
RIT2	Ganglion cell		
SNCG	Ganglion cell		
THY1	Ganglion cell		
TUBB3	Ganglion cell		
TUJ1	Ganglion cell		
ATOH7	Ganglion cell		
CNTN2	Ganglion cell		
EBF1	Ganglion cell		
EBF3	Ganglion cell		
FXYD7	Ganglion cell		
GAP43	Ganglion cell		
INA	Ganglion cell		
KLF7	Ganglion cell		
L1CAM	Ganglion cell		
MAPT	Ganglion cell		
MEG3	Ganglion cell		
NEFL	Ganglion cell		
NEFM	Ganglion cell	ENSSSCG00000009648	
NHLH2	Ganglion cell		
NRN1	Ganglion cell		
NTM	Ganglion cell		
PFN1	Ganglion cell		
POU6F2	Ganglion cell		
PRPH	Ganglion cell		
RTN1	Ganglion cell		
SNCA	Ganglion cell		
SYT4	Ganglion cell		
TUBB2A	Ganglion cell		
ISL1	Ganglion cell		
NEUROD1	"Ganglion Cell, Amacrine Cell, Pan PRs (fetal) "		
GRIK2	Glutamatergic synapse		
NSG1	Glutamatergic synapse		
NTNG1	Glutamatergic synapse		
TNR	Glutamatergic synapse		
GJA10	Horizontal Cell		
LHX1	Horizontal Cell		
NTRK1	Horizontal Cell		
FOXN4	Horizontal Cell		
ONECUT2	Horizontal Cell		
ONECUT3	Horizontal Cell		
PROX1	Horizontal Cell		
RP11-714M23.2	Horizontal Cell		
SULF2	Horizontal Cell		
A2M	Interphotoreceptor Matrix		
ASPN	Interphotoreceptor Matrix		
LAMB4	Interphotoreceptor Matrix		
VWF	Interphotoreceptor Matrix		
RTBDN	Interphotoreceptor Matrix-Pan PRs		
AIF1	Microglia (fetal)		
C1QA	Microglia (fetal)		
C1QB	Microglia (fetal)		
C1QC	Microglia (fetal)		
CSF1R	Microglia (fetal)		
CSF2RA	Microglia (fetal)		
CX3CR1	Microglia (fetal)		
FCER1G	Microglia (fetal)		
ITGB2	Microglia (fetal)		
LAPTM5	Microglia (fetal)		
RNASET2	Microglia (fetal)		
S100A11	Microglia (fetal)		
TYROBP	Microglia (fetal)		
AQP4	Muller glia		
CA2	Muller glia		
CLU	Muller glia		
CNTFR	Muller glia		
CRALBP	Muller glia		
DKK3	Muller glia		
EGFR	Muller glia		
KCNJ10	Muller glia		
KCNJ2	Muller glia		
LHX2	Muller glia		
NOTCH1	Muller glia		
S100A1	Muller glia		
FABP7	Muller glia		
HESR2	Muller glia		
HEY2	Muller glia		
LG14	Muller glia		
PLP1	Muller glia		
PMEPA1	Muller glia		
SPON1	Muller glia		
TF	Muller glia		
TRLBP1	Muller glia		
WIF1	Muller glia		
LGALS1	Muller glia		
MT2A	Muller glia	ENSSSCG00000030300	
CERKL	Neuronal projection		
CPLX3	Neuronal projection		
EPHB2	Neuronal projection		
FSCN2	Neuronal projection		
GABRB2	Neuronal projection		
HCN1	Neuronal projection		
ITGA4	Neuronal projection		
KCNAB1	Neuronal projection		
KCNB2	Neuronal projection		
KLC3	Neuronal projection		
NCAM2	Neuronal projection		
NGFR	Neuronal projection		
NRTN	Neuronal projection		
OLFM1	Neuronal projection		
ROBO2	Neuronal projection		
SEMA5B	Neuronal projection		
SEPTIN4	Neuronal projection	ENSSSCG00000017643	
SNCB	Neuronal projection		
TACR3	Neuronal projection		
TRAK1	Neuronal projection		
ZNF385A	Neuronal projection		
PDC	Neuronal projection-Pan PRs (fetal) 		
ANKRD33	Pan PRs	ENSSSCG00000000231	Critical role in PR maturation 
PCDH15	Pan PRs	ENSSSCG00000010426	
PPEF2	Pan PRs		
MAK	Pan PRs		
RPGRIP1	Pan PRs		
CROCC	Pan PRs		
MYO3B	Pan PRs		
OSBP2	Pan PRs		
