gene	Cell type
GAD1	Amacrine Cell 
GAD2	Amacrine Cell 
TH	Amacrine Cell 
SLC6A9	Amacrine cell 
CHAT	Amacrine Cells
NRXN3	Amacrine Cells
CA10	Bipolar Cells
NETO1	Bipolar Cells
PRKCA	Bipolar Cells
CNGA3	Cone
CNGB3	Cone
OPN1MW	Cone
OPN1SW	Cone
ARR3	Cones
GNAT2	Cones
PDE6C	Cones
BRN3	Ganglion cell 
TUBB3	Ganglion cell 
SNCG	Ganglion Cells
ISL1	Ganglion Cells
POU4F2	Ganglion Cells
NTRK1	Horizontal Cells
PROX1	Horizontal Cells
ONECUT2	Horizontal Cells
GFAP	Muller Glia
S100A1	Muller Glia
FABP7	Muller Glia
IMPG2	Pan photoreceptors
CRX	Pan photoreceptors
RCVRN	Pan photoreceptors
PROM1	Pan PRs
SOX2	Retinal Progenitor Cell
HES1	Retinal Progenitor Cell
HES5	Retinal Progenitor Cell
MKI67 (ENSSSCG00000026302)	Retinal Progenitor Cell
VSX2	"Retinal Progenitor, Bipolar cell, or Muller glia"
OTX2	"Retinal Progenitor, Early PRs"
NR2E3	Rods
RHO	Rods
SAG	Rods
NRL	Rods
